city,state,latitude,longitude,area_km2,schools,hospitals,buses,roads_km,population_2025
Delhi,Delhi,28.6139,77.2090,1484,5532,1058,4100,33000,33807000
Mumbai,Maharashtra,19.0550,72.8692,603,4800,978,3000,14500,21297000
Bangalore,Karnataka,12.9768,77.5901,741,6200,897,6800,12800,13981000
Kolkata,West Bengal,22.5726,88.3639,205,4612,765,3100,7800,15334000
Chennai,Tamil Nadu,13.0837,80.2702,426,4321,812,3450,9200,11484000
Hyderabad,Telangana,17.3606,78.4741,650,5100,892,9200,11500,10801000
Ahmedabad,Gujarat,23.0215,72.5801,464,3892,615,1292,9800,8681000
Pune,Maharashtra,18.5214,73.8545,331,3540,572,2100,7200,7359000
Surat,Gujarat,21.2095,72.8317,326,2980,431,870,6800,7784000
Jaipur,Rajasthan,26.9155,75.8190,485,2640,394,350,8200,4180000
Lucknow,Uttar Pradesh,26.8381,80.9346,349,2310,382,650,6100,4093000
Kanpur,Uttar Pradesh,26.4609,80.3218,403,2180,340,480,5800,3391000
Nagpur,Maharashtra,21.1498,79.0821,227,2050,312,480,5200,3265000
Indore,Madhya Pradesh,22.7204,75.8682,530,2430,346,610,5600,3516000
Visakhapatnam,Andhra Pradesh,17.6936,83.2921,682,1840,298,780,4800,1685000
